,District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
234,Chandauli,344937.0,169019.13,23455.716,64848.156,50822.0,18702.496,2337.812,35168.824
235,Varanasi,438935.0,208933.06,29408.645,118951.385,316129.0,113174.18199999999,11064.515,281354.81
236,Sant Ravidas Nagar (Bhadohi),293510.0,140004.27,18197.62,36982.26,45997.0,20238.68,2621.829,25574.332000000002
237,Mirzapur,465152.0,240018.432,22327.296000000002,89309.18400000001,77963.0,31730.941000000003,2728.705,53404.655
238,Sonbhadra,337048.0,188072.78399999999,6066.8640000000005,46175.575999999994,91040.0,31317.76,4278.88,64365.28
239,Etah,334246.0,189183.236,23397.22,30750.631999999998,67752.0,29404.368,2100.312,53049.816
240,Kanshiram Nagar,271234.0,166808.91,24139.826,30378.208,72490.0,36317.49,3189.56,55744.81
241,Pashchim Champaran,839514.0,531412.362,41136.186,96544.11,96620.0,50145.78,7149.88,52078.18
242,Purba Champaran,1142260.0,639665.6,63966.56,177050.3,101565.0,43571.385,5789.205,54845.1
243,Sheohar,158484.0,94456.464,5388.456,31379.832000000002,7516.0,3382.2,601.28,2773.4039999999995
244,Sitamarhi,807294.0,473881.57800000004,50052.227999999996,150963.978,49670.0,20762.059999999998,3228.55,30050.35
245,Madhubani,1047552.0,532156.416,49234.944,181226.496,41234.0,17606.918,2927.6139999999996,22884.87
246,Supaul,572287.0,355390.227,28042.063000000002,52078.117,27815.0,14408.17,2169.57,13017.42
247,Araria,659061.0,424435.28400000004,24385.257,44157.087,44213.0,21443.305,2829.632,24007.659
248,Kishanganj,401793.0,249915.246,14062.755,24911.166,43357.0,20117.648,3425.203,22502.283
249,Purnia,712847.0,464063.39699999994,36355.197,61304.842000000004,85749.0,39530.289,8317.652999999998,50677.65900000001
250,Katihar,668232.0,414303.84,33411.6,84865.464,69838.0,29541.474,4958.498,47839.03
251,Madhepura,486278.0,311217.92,30149.236,54949.414000000004,24000.0,11016.0,2087.9999999999995,12312.0
252,Saharsa,432651.0,278194.593,28554.965999999997,54081.375,38046.0,16397.826,2815.4040000000005,25719.095999999998
253,Darbhanga,907174.0,478987.872,73481.094,189599.36599999998,95539.0,38215.6,8598.51,64011.13
254,Muzaffarpur,998694.0,603211.176,83890.296,218713.98599999998,120700.0,43693.4,8207.6,93059.7
255,Gopalganj,515925.0,273956.175,41274.0,93382.425,38133.0,15100.668,2326.113,19371.564
256,Siwan,632514.0,294751.52400000003,51866.148,127767.828,41858.0,14399.152,2553.3379999999997,29886.612
257,Saran,701323.0,360480.02199999994,61015.100999999995,124835.494,76299.0,31664.085,6027.621,45016.41
258,Vaishali,699317.0,397911.37299999996,86015.991,174829.25,51494.0,22966.324,5458.3640000000005,31926.28
259,Samastipur,1012979.0,599683.5680000001,98258.96299999999,172206.43,43486.0,16785.596,2826.59,30527.172000000002
260,Begusarai,594377.0,339389.26700000005,68947.732,151566.135,139248.0,60572.88,13646.304000000002,80346.096
261,Khagaria,373696.0,219733.24800000002,33258.943999999996,81092.032,21007.0,9936.311,1512.504,13927.640999999998
262,Bhagalpur,522527.0,307245.876,45982.376000000004,131154.277,130634.0,55911.35199999999,10058.818000000001,93664.57800000001
263,Banka,425604.0,257490.42,28941.071999999996,47242.043999999994,18492.0,8672.748,943.092,8284.416
264,Munger,222281.0,130256.666,17560.199,58015.34100000001,85782.0,33626.544,5747.394,63650.244000000006
265,Lakhisarai,175882.0,103594.49799999999,13542.914,47136.376000000004,31763.0,16612.049,2668.092,19566.008
266,Sheikhpura,108293.0,64975.8,10179.542000000001,26315.199,24345.0,10882.215,1801.53,12708.09
267,Nalanda,514141.0,306428.036,48843.395,117224.148,102522.0,42854.195999999996,7279.062,75456.192
268,Patna,657991.0,384266.744,59877.181,181605.516,552103.0,171151.93,28709.356,477569.095
269,Bhojpur,434559.0,251175.10199999998,37806.633,89084.595,77368.0,31798.248000000003,6344.1759999999995,53074.448
270,Buxar,299252.0,169975.13599999997,31421.46,59850.4,35405.0,14020.38,3115.64,23792.16
271,Kaimur (Bhabua),325143.0,196061.229,21134.295,47145.735,15299.0,5125.165,703.7539999999999,10739.898000000001
272,Rohtas,512383.0,295644.99100000004,32792.512,108112.81300000001,95678.0,39993.404,5645.002,65443.752
273,Aurangabad,428291.0,247552.19799999997,28267.205999999995,73666.052,49006.0,20141.466,2646.324,33324.08
274,Aurangabad,428291.0,247552.19799999997,28267.205999999995,73666.052,49006.0,11075.356000000002,686.084,42831.244000000006
275,Aurangabad,428291.0,247552.19799999997,28267.205999999995,73666.052,427343.0,175637.973,23076.522,290593.24
276,Aurangabad,428291.0,247552.19799999997,28267.205999999995,73666.052,427343.0,96579.51800000001,5982.802,373497.782
277,Aurangabad,551789.0,318934.042,36418.074,94907.70799999998,49006.0,20141.466,2646.324,33324.08
278,Aurangabad,551789.0,318934.042,36418.074,94907.70799999998,49006.0,11075.356000000002,686.084,42831.244000000006
279,Aurangabad,551789.0,318934.042,36418.074,94907.70799999998,427343.0,175637.973,23076.522,290593.24
280,Aurangabad,551789.0,318934.042,36418.074,94907.70799999998,427343.0,96579.51800000001,5982.802,373497.782
281,Aurangabad,428291.0,170031.52700000003,34263.28,84801.618,49006.0,20141.466,2646.324,33324.08
282,Aurangabad,428291.0,170031.52700000003,34263.28,84801.618,49006.0,11075.356000000002,686.084,42831.244000000006
283,Aurangabad,428291.0,170031.52700000003,34263.28,84801.618,427343.0,175637.973,23076.522,290593.24
284,Aurangabad,428291.0,170031.52700000003,34263.28,84801.618,427343.0,96579.51800000001,5982.802,373497.782
285,Aurangabad,551789.0,219060.233,44143.12,109254.22200000001,49006.0,20141.466,2646.324,33324.08
286,Aurangabad,551789.0,219060.233,44143.12,109254.22200000001,49006.0,11075.356000000002,686.084,42831.244000000006
287,Aurangabad,551789.0,219060.233,44143.12,109254.22200000001,427343.0,175637.973,23076.522,290593.24
288,Aurangabad,551789.0,219060.233,44143.12,109254.22200000001,427343.0,96579.51800000001,5982.802,373497.782
289,Gaya,696289.0,437269.49199999997,55006.831000000006,114887.685,111282.0,40061.52,5230.254,86577.396
290,Nawada,379551.0,236460.27300000002,39093.753000000004,65662.323,45323.0,17993.231,2900.672,31408.839
291,Jamui,325909.0,209233.578,26072.72,38783.171,30851.0,15086.139,2622.335,15086.139
292,Jehanabad,186660.0,114235.92,16986.06,41625.18,28132.0,11027.744,1941.1080000000002,19045.364
293,Arwal,134334.0,83152.746,10478.052,30225.15,9960.0,5149.32,607.56,3884.4
294,North  District,11543.0,5228.978999999999,427.091,8657.25,2066.0,419.398,37.188,2010.2179999999998
295,West District,32091.0,16558.956000000002,2535.1890000000003,26988.530999999995,1886.0,290.444,124.47599999999998,1684.1979999999999
296,South District,31135.0,14104.155,1836.965,26433.615,8163.0,1248.939,73.467,7991.577000000001
297,East District,40626.0,16900.416,3046.95,34857.108,41512.0,7638.208,705.704,39394.888000000006
298,Tawang,10730.0,5032.37,439.92999999999995,7446.620000000001,2452.0,613.0,14.712,2390.7
299,West Kameng,17889.0,8640.386999999999,447.225,6958.821,,,,
300,East Kameng,14503.0,8440.746000000001,377.07800000000003,3190.66,5215.0,2466.6949999999997,130.375,3337.6
301,Papum Pare,20308.0,8996.444,812.32,11128.784,30180.0,9476.52,1056.3,27675.06
302,Upper Subansiri,14542.0,9146.918,363.55,5002.448,4672.0,1798.72,56.06399999999999,3975.8719999999994
303,West Siang,22272.0,9176.064,178.17600000000002,15835.392,8503.0,2550.9,178.563,8128.8679999999995
304,East Siang,19497.0,5459.16,292.455,9241.578,9524.0,5371.536,409.532,8638.268
305,Upper Siang,8569.0,2502.1479999999997,34.276,4824.347,2182.0,1036.45,24.002000000000002,1749.964
306,Changlang,33422.0,16644.156,568.174,21824.566000000003,6498.0,2488.734,51.98400000000001,5932.674
307,Tirap,18420.0,7975.86,184.2,15767.52,6500.0,3068.0,97.5,5973.5
308,Lower Subansiri,18112.0,7281.024,271.68,12334.271999999999,5365.0,1314.425,37.55499999999999,5284.525
309,Kurung Kumey,18603.0,8315.541000000001,2325.375,4371.705,1092.0,542.724,55.692,880.1519999999999
310,Dibang Valley,2055.0,1021.335,147.96,1329.585,1175.0,573.4,65.8,965.85
311,Lower Dibang Valley,12000.0,6324.0,384.0,5760.0,3950.0,1275.85,146.15,3499.7
312,Lohit,33599.0,18177.059,2015.94,16631.505,11372.0,5310.724,409.39200000000005,10143.824
313,Anjaw,6025.0,3181.2,361.5,1668.925,428.0,292.32399999999996,0.0,274.776
314,Mon,43607.0,27908.48,610.4979999999999,27341.589,7415.0,3611.105,415.24,6984.93
315,Mokokchung,37536.0,12799.776000000002,187.68,36147.168,17742.0,5854.86,124.194,17475.87
316,Zunheboto,31267.0,13820.014000000001,531.539,22418.439,6044.0,2181.884,12.088,5705.536
317,Wokha,38499.0,19865.484,384.99,22906.905,8170.0,1772.89,16.34,7900.39
318,Dimapur,49116.0,21954.852000000003,1571.7120000000002,44990.255999999994,62853.0,21747.138000000003,1319.9130000000002,60841.704
319,Phek,38903.0,21163.231999999996,933.672,29332.862,7295.0,2837.755,29.18,6828.12
320,Tuensang,40690.0,22379.5,1383.46,20263.62,9451.0,5094.089,292.981,8392.488
321,Longleng,12686.0,8385.446,279.092,8753.34,2451.0,1561.287,137.25599999999997,1855.4070000000002
322,Kiphire,16032.0,9170.304,160.32,5867.712,4290.0,1192.62,17.16,4088.37
323,Kohima,31845.0,10699.92,191.07,16623.09,44255.0,14117.345,840.845,40714.6
324,Peren,20204.0,10708.12,181.836,15577.284,4073.0,2488.603,85.53300000000002,3783.817
325,Senapati,38008.0,22690.776,836.176,27555.8,1826.0,1157.684,32.868,1782.1759999999997
326,Tamenglong,23982.0,13573.812,2014.4880000000003,15924.048,4119.0,2253.0930000000003,428.376,3983.073
327,Churachandpur,52972.0,28392.992000000002,1218.356,43595.956,4853.0,2547.825,111.619,4794.763999999999
328,Bishnupur,34977.0,12137.019000000002,2063.643,31864.047,21172.0,6372.772000000001,868.052,19986.368000000002
329,Thoubal,65961.0,22096.935,3627.855,60486.237,38302.0,10264.936,1991.704,36042.182
330,Imphal West,51055.0,16899.205,2705.915,46970.6,85746.0,26152.53,3772.824,82916.382
331,Imphal East,64421.0,23449.244,2963.366,58558.689000000006,46520.0,14653.8,1488.64,44426.6
332,Ukhrul,36084.0,25403.136000000002,1876.3680000000002,29011.536,5806.0,3274.584,243.852,5579.566
333,Chandel,30377.0,17740.168,1245.4569999999999,23420.666999999998,3783.0,1539.681,590.1479999999999,3665.7270000000003
334,Mamit,16726.0,8312.822,986.8340000000001,13899.305999999999,4129.0,883.6059999999999,41.29,4075.323
335,Kolasib,9669.0,4554.099,212.71800000000002,9253.233,12507.0,4815.195,300.168,12081.761999999999
336,Aizawl,20570.0,7117.22,349.69,20035.180000000004,80341.0,13336.606000000002,562.387,79778.613
337,Champhai,18395.0,8866.39,882.96,17456.855,12717.0,5646.347999999999,190.755,12386.358
338,Serchhip,7472.0,3885.44,463.264,7203.008000000001,8018.0,3736.388,769.7280000000001,7969.892000000001
339,Lunglei,21479.0,10696.542,837.6809999999999,17290.595,17315.0,4640.42,138.52,16830.18
340,Lawngtlai,21993.0,10930.521,1143.636,13305.765,5273.0,1824.458,84.36800000000001,5183.3589999999995
341,Saiha,7043.0,2281.932,366.236,6127.41,5784.0,1660.0079999999998,133.03199999999998,5645.184
342,West Tripura,289621.0,119903.094,11584.84,246757.092,217016.0,69879.152,7812.576,212892.69599999997
343,South Tripura,219171.0,94024.359,9862.695,181035.24599999998,44906.0,12304.243999999999,1616.616,44007.88
344,Dhalai,89457.0,42492.075,6440.904,59399.448000000004,14071.0,5628.4,1266.39,13564.444000000001
345,North Tripura,150437.0,72811.508,12486.271,122606.155,42184.0,14511.295999999998,2995.064,40918.48
346,West Garo Hills,139351.0,68281.99,7664.305,78454.613,18594.0,6340.554,1171.422,17459.766
347,East Garo Hills,62698.0,30659.321999999996,2257.128,49719.513999999996,11518.0,4872.114,138.216,11137.906
348,South Garo Hills,35930.0,18396.16,1437.2,22779.62,3713.0,1555.7469999999998,100.251,3245.1620000000003
349,West Khasi Hills,74832.0,41980.752,6884.543999999999,30531.455999999995,12299.0,5755.932,565.7539999999999,11130.595
350,Ribhoi,57988.0,31255.531999999996,3421.292,37170.308,5736.0,1955.976,177.81600000000003,5242.704000000001
351,East Khasi Hills,106248.0,56205.192,9881.064,47067.863999999994,108843.0,25578.105,2285.703,105468.86700000001
352,Jaintia Hills,76546.0,35517.344,6429.8640000000005,33374.056000000004,7171.0,1003.94,150.591,6891.331
353,Kokrajhar,204896.0,112692.8,26636.48,51019.10399999999,17115.0,4244.52,804.405,15420.615
354,Dhubri,460602.0,295706.484,81065.952,179634.78,60417.0,24045.965999999997,7370.873999999999,48394.01699999999
355,Goalpara,228610.0,138080.44,28804.86,141966.81,39504.0,18329.856,3160.32,33578.4
356,Barpeta,447189.0,282623.44800000003,84071.532,312137.922,52192.0,17640.895999999997,3862.2080000000005,48434.176
357,Morigaon,232206.0,145128.75,34366.488000000005,132821.83200000002,25275.0,10817.7,2325.2999999999997,22823.325
358,Nagaon,674999.0,400274.40699999995,93149.86200000001,485999.28,124186.0,54269.282,7326.974,118225.07200000001
359,Sonitpur,483325.0,280811.825,49299.15,265828.75,64528.0,20778.016,2903.76,61301.6
360,Lakhimpur,293239.0,190018.872,28444.182999999997,157469.343,34694.0,13079.638,1908.17,32855.218
361,Dhemaji,211758.0,140183.796,21175.8,85338.47399999999,16504.0,7971.432,1188.288,15777.823999999999
362,Tinsukia,290704.0,162794.24,14535.2,224714.19199999998,90910.0,33727.61,4545.5,85909.95
363,Dibrugarh,299852.0,162519.784,17091.564000000002,222490.184,77163.0,22917.411,3163.683,74385.132
364,Sivasagar,360182.0,217189.74599999998,21971.102,258970.858,45047.0,16397.108,1756.8329999999999,41983.804000000004
365,Jorhat,286330.0,174374.97,23192.73,168648.37,80824.0,28530.871999999996,3232.96,76136.208
366,Golaghat,292893.0,187451.52,23138.547000000002,190673.34299999996,34190.0,13231.53,1435.98,33403.63
367,Karbi Anglong,215691.0,140414.841,9274.713,104610.135,37185.0,19336.2,1338.66,35139.825
368,Dima Hasao,37610.0,23468.64,1692.45,21475.31,21309.0,9631.668,703.197,20584.494
369,Cachar,346227.0,197003.163,42239.693999999996,268672.152,88933.0,33083.076,5424.913,85197.814
370,Karimganj,261945.0,150880.32,39029.805,219247.965,32695.0,11802.895,2844.465,31844.93
371,Hailakandi,159215.0,94732.925,26748.12,130397.085,16202.0,4941.61,1231.3519999999999,15894.162
372,Bongaigaon,181923.0,116976.489,22740.375,89506.116,38470.0,11156.3,1654.21,35238.52
373,Chirang,129018.0,74185.35,14062.962,30964.32,11613.0,4587.135,1718.724,9859.437
374,Kamrup,390596.0,230842.236,48043.308,222639.72,43849.0,19775.899,3727.165,34509.163
375,Kamrup Metropolitan,61334.0,32139.016,6194.734,39683.098000000005,366858.0,100152.234,14307.462,355852.26
376,Nalbari,210706.0,128530.66,20017.07,134219.722,28238.0,12227.053999999998,2400.23,25442.438
377,Baksa,291641.0,187525.163,32663.791999999998,112865.06700000001,3580.0,1904.56,268.5,3368.78
378,Darrang,268517.0,154665.79200000002,47796.026000000005,127814.092,20189.0,6945.016,1736.254,18533.502
379,Udalguri,267790.0,160406.21,28653.53,111132.85,13835.0,4883.754999999999,996.12,12423.83
380,Darjiling,303284.0,164379.928,24262.72,158617.532,215675.0,68368.975,11430.775,187637.25
381,Jalpaiguri,798378.0,461462.484,127740.48,296198.238,319426.0,118826.47200000001,33539.73,262887.598
382,Koch Bihar,803407.0,463565.83900000004,101229.28199999999,447497.6990000001,97331.0,32995.209,7689.149,87889.89299999998
383,Uttar Dinajpur,683981.0,396024.999,84813.644,140900.086,94269.0,37707.6,13763.274,75980.814
384,Dakshin Dinajpur,390949.0,225186.624,46522.931000000004,107510.975,70077.0,24036.410999999996,6517.161000000001,64190.53199999999
385,Maldah,830318.0,489887.62,93825.93400000001,210900.772,128678.0,62408.83,10680.274000000001,95607.754
386,Murshidabad,1501066.0,842098.0260000001,255181.22,520869.902,350899.0,170186.015,40704.284,216855.582
387,Birbhum,831044.0,432142.88,129642.864,155405.228,134565.0,50192.745,12514.545,82892.04
388,Barddhaman,1364868.0,707001.624,128297.592,629204.148,862368.0,329424.576,54329.183999999994,616593.12
389,Nadia,1081381.0,582864.3589999999,168695.436,771024.6529999999,468390.0,192976.68,49649.34,437007.87
390,North Twenty Four Parganas,1209337.0,559923.031,238239.389,954166.8930000002,1649803.0,551034.2019999999,89089.36200000001,1550814.82
391,Hugli,992085.0,451398.675,116073.945,596243.085,647953.0,218360.16100000002,34341.509,575382.264
392,Bankura,900515.0,471869.86,105360.255,148584.975,90885.0,35263.38,8088.765,54894.54
393,Puruliya,653219.0,409568.313,48338.206000000006,39846.359,99433.0,43253.355,6662.0109999999995,50611.397000000004
394,Haora,483384.0,195287.13599999997,67190.376,290997.168,869313.0,305998.17600000004,56505.345,725876.355
395,South Twenty Four Parganas,1568802.0,782832.198,254145.924,862841.1,611430.0,235400.55,49525.83,508098.33
396,Paschim Medinipur,1364335.0,712182.87,180092.22,571656.365,201048.0,65943.74399999999,16686.984,155209.056
397,Purba Medinipur,1193006.0,584572.94,215934.086,1021213.1359999999,170707.0,59406.03599999999,17241.407,141345.396
398,Garhwa,272872.0,170272.128,12552.112,13370.728000000001,19180.0,8535.1,1304.24,8880.34
399,Chatra,200974.0,115560.05,9043.83,13264.284,14528.0,6740.991999999999,595.6479999999999,9544.896
400,Kodarma,116714.0,61041.42199999999,4901.988,8870.264,34771.0,15542.637000000002,1877.6340000000002,17489.813
401,Giridih,452564.0,242574.30400000003,14029.484000000002,26248.711999999996,46886.0,17347.82,1594.124,28741.118
402,Deoghar,257373.0,155968.038,13126.022999999997,14155.515,64337.0,24062.037999999997,2702.1540000000005,43942.170999999995
403,Godda,276454.0,173336.658,25433.767999999996,21839.866,15576.0,5731.967999999999,654.192,10108.824
404,Sahibganj,223450.0,145465.94999999998,16311.85,20557.399999999998,37543.0,17457.495,2928.354,20385.849
405,Pakur,200588.0,120152.212,14241.747999999998,14642.923999999999,16587.0,7746.129,945.4590000000001,7712.955
406,Dhanbad,258764.0,135074.80800000002,12161.908000000001,31569.208,405455.0,180427.475,15812.745,240434.815
407,Bokaro,250312.0,125906.936,10262.792,16520.592,258452.0,94851.884,8270.464,162049.404
408,Lohardaga,96759.0,60474.375,2709.252,7063.406999999999,14725.0,5330.45,647.9000000000001,10381.125
409,Purbi Singhbhum,262537.0,133893.87,15227.145999999999,35705.032,342126.0,88268.508,7868.897999999999,276095.682
410,Palamu,355529.0,223272.212,22398.326999999997,26309.146,52375.0,21002.375,2828.25,30534.625
411,Latehar,146377.0,84898.66,3220.2940000000003,10539.144000000002,14137.0,5739.622,706.85,7888.446
412,Hazaribagh,312983.0,151796.755,10328.438999999998,29107.419000000005,68765.0,22761.215,2062.95,50542.275
413,Ramgarh,134067.0,67167.567,5094.545999999999,14747.37,118558.0,47186.083999999995,4268.088,71134.8
414,Dumka,303697.0,194062.383,18221.82,18829.214,23281.0,7799.135,1164.05,14946.402
415,Jamtara,165555.0,103637.43,8112.1950000000015,7284.420000000001,20113.0,6737.855,663.7289999999999,12087.913
416,Ranchi,420740.0,231407.0,12622.2,55537.68,310242.0,98656.95599999999,12719.921999999999,245401.422
417,Khunti,,,,,,,,
418,Gumla,216629.0,137126.157,6282.241,13864.256000000001,16445.0,6314.88,822.25,11264.825
419,Simdega,144169.0,85924.724,4180.901,7064.281000000001,11114.0,4445.6,444.56,5934.876
420,Pashchimi Singhbhum,336928.0,171496.35199999998,13477.12,12466.336000000001,63396.0,23773.5,2852.82,37340.244
421,Saraikela-Kharsawan,217248.0,116227.68,7820.928000000001,13903.872000000001,68439.0,25048.674,2326.926,44143.155
422,Bargarh,411566.0,275337.65400000004,34983.11,50622.61800000001,47395.0,22133.465,2227.565,25688.09
423,Jharsuguda,103224.0,73805.16,6090.216000000001,9703.056,73962.0,33652.71,4141.871999999999,39643.632000000005
424,Sambalpur,220697.0,153825.809,17214.365999999998,18979.942,94798.0,39056.776,4929.496,56404.81
425,Debagarh,91408.0,68556.0,12248.671999999999,5393.072000000001,7350.0,4579.05,404.25,3770.55
426,Sundargarh,387911.0,294424.449,22498.838,32584.523999999998,230151.0,107940.819,10126.644000000002,150748.905
427,Kendujhar,490634.0,343443.8,42194.524,45628.962,83664.0,40828.032,6442.128000000001,42501.312000000005
428,Mayurbhanj,689110.0,499604.75,59263.46,103366.5,64479.0,28241.801999999996,5222.799,41266.56
429,Baleshwar,601154.0,373316.63399999996,69733.864,136461.95799999998,82440.0,34789.68000000001,5935.68,56059.2
430,Bhadrak,373862.0,240393.26599999997,33273.718,59817.92,54244.0,28586.588000000003,4014.0560000000005,28098.391999999996
431,Kendrapara,414749.0,236406.93,31106.175,65530.342000000004,23494.0,10478.324,2067.472,13579.532
432,Jagatsinghapur,309685.0,177449.505,21987.635,68440.385,43047.0,24622.884,1592.739,19285.055999999997
433,Cuttack,579529.0,318740.95,58532.429,129814.496,210768.0,77141.088,13489.152000000002,164399.04
434,Jajapur,495611.0,286463.158,72359.20599999999,98626.58899999998,45528.0,19531.512,3186.96,27863.136000000002
435,Dhenkanal,315390.0,206580.45,36269.85,44785.38,36979.0,15457.222,2810.4039999999995,22113.441999999995
436,Anugul,340410.0,219224.04000000004,40849.2,56848.47,74177.0,28780.675999999996,4895.682,47473.28
437,Nayagarh,261646.0,168238.378,31920.811999999998,41601.714,26688.0,12943.68,2028.2879999999998,14891.903999999999
438,Khordha,331834.0,207064.41599999997,28205.89,60725.622,356895.0,130623.57,18201.644999999997,273381.56999999995
439,Puri,402014.0,257690.974,45025.568,62714.183999999994,72210.0,33505.44,4188.18,52929.93
440,Ganjam,795476.0,490013.216,75570.22,151935.91600000003,219918.0,87747.28199999999,11435.736,143606.454
441,Gajapati,152095.0,101903.65,8973.605,19316.065,23050.0,9381.35,1152.5,13069.35
442,Kandhamal,218446.0,150290.848,14417.435999999998,13762.098,24489.0,11387.385,1567.296,13836.285
443,Baudh,131377.0,98664.127,6174.719,11823.93,6577.0,3689.697,355.158,3374.0009999999997
444,Subarnapur,176927.0,130925.98,12738.744,13977.233,16575.0,10177.05,961.35,6464.25
445,Balangir,476770.0,327064.22,33373.9,48153.77,62192.0,29168.048,4229.056,36133.552
446,Nuapada,197258.0,143801.08200000002,9468.383999999998,25051.765999999996,11869.0,6254.963000000001,771.485,5744.596
447,Kalahandi,456336.0,320804.208,42895.584,37419.551999999996,38412.0,18360.935999999998,2650.428,22586.256
448,Rayagada,237343.0,165428.07100000003,13528.551000000001,15664.637999999999,49205.0,17615.39,2115.815,29769.025
449,Nabarangapur,342840.0,237588.12,15084.960000000003,19884.72,29424.0,15123.935999999998,1441.776,15712.416
450,Koraput,381789.0,250835.37300000002,20234.817,31306.697999999997,78339.0,30473.871,4386.9839999999995,50842.011000000006
451,Malkangiri,167884.0,112985.93199999999,12423.416000000001,10073.04,15839.0,7238.423000000001,1330.476,7555.203
452,Koriya,121852.0,61535.26,2680.744,10357.42,59763.0,22411.125,776.9190000000001,35439.459
453,Surguja,,,,,65167.0,19159.097999999998,1042.672,39947.371
454,Jashpur,,,,,20722.0,7832.916,248.664,8744.684000000001
455,Raigarh,354278.0,203355.572,17005.343999999997,46056.14,66638.0,25189.164,1999.14,38183.574
456,Raigarh,354278.0,203355.572,17005.343999999997,46056.14,66638.0,11794.926,733.018,53976.78
457,Raigarh,354278.0,203355.572,17005.343999999997,46056.14,377160.0,142566.47999999998,11314.8,216112.68
458,Raigarh,354278.0,203355.572,17005.343999999997,46056.14,377160.0,66757.32,4148.76,305499.6
459,Raigarh,581868.0,333992.232,27929.664,75642.84,66638.0,25189.164,1999.14,38183.574
460,Raigarh,581868.0,333992.232,27929.664,75642.84,66638.0,11794.926,733.018,53976.78
461,Raigarh,581868.0,333992.232,27929.664,75642.84,377160.0,142566.47999999998,11314.8,216112.68
462,Raigarh,581868.0,333992.232,27929.664,75642.84,377160.0,66757.32,4148.76,305499.6
463,Raigarh,354278.0,100260.674,12754.008,180327.50199999998,66638.0,25189.164,1999.14,38183.574
464,Raigarh,354278.0,100260.674,12754.008,180327.50199999998,66638.0,11794.926,733.018,53976.78
465,Raigarh,354278.0,100260.674,12754.008,180327.50199999998,377160.0,142566.47999999998,11314.8,216112.68
466,Raigarh,354278.0,100260.674,12754.008,180327.50199999998,377160.0,66757.32,4148.76,305499.6
467,Raigarh,581868.0,164668.644,20947.248,296170.812,66638.0,25189.164,1999.14,38183.574
468,Raigarh,581868.0,164668.644,20947.248,296170.812,66638.0,11794.926,733.018,53976.78
469,Raigarh,581868.0,164668.644,20947.248,296170.812,377160.0,142566.47999999998,11314.8,216112.68
470,Raigarh,581868.0,164668.644,20947.248,296170.812,377160.0,66757.32,4148.76,305499.6
471,Korba,206598.0,112389.31199999999,6611.136000000001,24585.162,126055.0,37438.335,2016.88,73868.23
472,Janjgir - Champa,379583.0,223953.97,21256.647999999997,41754.13,61190.0,26801.22,2325.22,27168.36
473,Kabeerdham,187311.0,114072.399,11613.282,16857.99,23868.0,8759.556,1217.2679999999998,11814.66
474,Rajnandgaon,313604.0,149589.108,10662.535999999998,58016.74,76528.0,25101.183999999997,1913.2,40712.896
475,Durg,533448.0,279526.752,26672.4,74682.72,349741.0,103523.336,7694.302000000001,218937.866
